,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,Company_txt,Job_State,age_of_company,python_yn,sql_yn,excel_yn,spark_yn,aws_yn,job_simp,seniority,job_state,desc_len
106,Analytics Scientist,$50K - $80K (Employer est.),"We are the movers of the world and the makers of the future. We get up every day, roll up our sleeves and build a better world - together. At Ford, we’re all a part of something bigger than ourselves. What will you make today?
The Ford Motor Credit Company team helps put people behind the wheels of great Ford and Lincoln vehicles. By partnering with dealerships, we provide financing, personalized service and professional expertise to five thousand dealers and more than four million customers in over one hundred countries around the world.
The Dealer Analytics team in Credit Analytics is looking for a hardworking and motivated Data Scientist to work on dealer initiatives within Ford Motor Company's Global Data, Insight, and Analytics (GDI&A) organization. In this role, you will be responsible for designing and developing statistical and AI/ML models to solve complex business problems and drive business value to support Ford Motor Credit Company’s Global Dealer & Commercial Risk activities, and report results in appropriate forums.",4.0,"Ford Motor Company
4.0","Dearborn, MI",10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),50,80,65.0,Ford Motor Company,MI,120,0,0,0,0,0,na,na,MI,1045
107,Data Scientist,$50K - $80K (Employer est.),"Currently seeking Data Scientist with clinical/health informatics expertise to include quantitative support (i.e., data science, ‘big data’ analysis and statistical analysis of clinical trials in order to provide Veterans, policymakers, providers and researchers with up-to-date information on military environmental exposures. Efforts shall include analysis of VA electronic medical record data (i.e., CDW; presentation of statistical findings that are consistent with VA, VHA, and Exposure Related Care Transformation Center/War Related Illness and Injury Study Center (EXPRT/WRIISC) strategic plans, policies, regulations, style guides, and publication standards; administrative support for research and evaluation protocols; and qualitative research support consistent with policies, regulations, style guides, and publication standards. Data Scientist requirements as follows:
Master of Science or more advanced degree with emphasis on databases, data architectures, and data structures, algorithms, statistics or equivalent.",-1.0,Extreme Data Technologies,"East Orange, NJ",1 to 50 Employees,-1,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,50,80,65.0,Extreme Data Technologies,NJ,-1,0,0,0,0,0,data scientist,na,NJ,1030
108,Interconnection Data Scientist,$50K - $80K (Employer est.),"Hanwha Q CELLS USA Corp (“HQC US”) develops, invests, and delivers solar photovoltaic (PV) and battery energy storage systems (BESS) projects through Engineering, Procurement, Construction (EPC) services in North America.

The company brings a decade of global leadership in solar PV to deliver utility-scale power generation plants customized for local and regional energy markets. HQC US offers the full spectrum of PV solutions – from the core technology of cells and modules to large-scale project development and investment. With proven capabilities across the solar and battery storage value chain, HQC US minimizes uncertainty and risk and helps customers achieve a higher return on their investment in renewable energy.

Qcells is looking for an experienced data scientist with experience in energy forecasting. This position will lead thedevelopment oflong-termenergy time series probabilistic forecasting tool to facilitate our long-term utility scaled renewable revenue forecast in different markets. As anInterconnection Data Scientist, you would haveopportunities to collaborate with subcontractors and other data scientist to refine the forecast methodology and integration with other internal tools.",3.0,"Qcells
3.0",Remote,501 to 1000 Employees,1999,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),50,80,65.0,Qcells,Remote,24,0,0,0,0,0,data scientist,na,Remote,1214
109,Data Scientist,$50K - $80K (Employer est.),"Greetings from KonnectingTree!
We are looking for a full-stack Data Scientist for a full-time position. Kindly go through the job description and let me know if interested.
Job Description:
Strong Python skills.
▪ Experience with popular tools and libraries in the Python data science and machine learning ecosystem: eg pandas, Jupyter, scikit-learn, darts, Matplotlib, Plotly, XGBoost, Optuna, dask.
▪ Experience training and tuning machine learning models.",-1.0,Konnectingtree,Remote,1 to 50 Employees,-1,Company - Public,unknown,unknown,Unknown / Non-Applicable,50,80,65.0,Konnectingtree,Remote,-1,1,0,0,0,0,data scientist,na,Remote,458
110,"Data Scientist, Services",$50K - $80K (Employer est.),"StreetLight pioneered the use of Big Data analytics to shed light on how people, goods, and services move, empowering smarter, data-driven transportation decisions. The company applies proprietary machine-learning algorithms and data processing resources to measure travel patterns of vehicles, bicycles and pedestrians that enable complex transportation problem solving using analytics available on SaaS platform, StreetLight InSight®. Acquired by Jacobs as a subsidiary in February 2022, StreetLight continues to provide innovative digital solutions to help communities reduce congestion, improve safe and equitable transportation, and maximize the positive impact of infrastructure investment.

As a Data Scientist on our Services team, your role will be vital in shaping our services offerings. You will directly influence the success of our customers by developing data-driven solutions tailored to their unique needs. Utilizing your data science expertise, you will be tasked not only with the creation of these solutions but also with the proactive identification and validation of potential new services offerings.",4.7,"StreetLight Data
4.7",Remote,51 to 200 Employees,2011,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD),50,80,65.0,StreetLight Data,Remote,12,0,0,0,0,0,data scientist,na,Remote,1122
111,Sr. Data Scientist,$50K - $80K (Employer est.),"Octo, an IBM company, is an industry-leading, award-winning provider of technical solutions for the federal government. At Octo, we specialize in providing agile software engineering, user experience design, cloud services, and digital strategy services that address government's most pressing missions. Octo delivers intelligent solutions and rapid results, yielding lower costs and measurable outcomes.
Our team is what makes Octo great. At Octo you'll work beside some of the smartest and most accomplished staff you'll find in your career. Octo offers fantastic benefits and an amazing workplace culture where you will feel valued while you perform mission critical work for our government. Voted one of the region’s best places to work multiple times, Octo is an employer of choice!",4.2,"Octo
4.2","Reston, VA",1001 to 5000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),50,80,65.0,Octo,VA,17,0,0,0,0,0,data scientist,senior,VA,787
112,Data Scientist,$50K - $80K (Employer est.),"Fremont, California
Type: Full-time
Min. Experience: Some Experience
Salary: $80,000 - $90,000

As a Junior Data Scientist, you will help support the Senior Data Scientist in analysis and research, and machine learning modeling that is underpinning new and current products. Additionally, the Junior Data Scientist will support the Data Engineer in building new data pipelines including new ETL functions.",3.5,"SoundThinking
3.5","Fremont, CA",201 to 500 Employees,1996,Company - Public,Software Development,Information Technology,$25 to $100 million (USD),50,80,65.0,SoundThinking,CA,27,0,0,0,0,0,data scientist,na,CA,405
113,"Data Scientist, Supply Chain",$50K - $80K (Employer est.),"Location: NYC
About Daily Harvest
At Daily Harvest, we take care of food, so food can take care of you. We're committed to helping you nourish your body while taking care of the planet. How? By making it easy to eat more real, unrefined, and sustainably sourced fruits and vegetables every day. Our team is collaborative, driven, and future-thinking. We're constantly learning, experimenting, and iterating, and celebrate failure just as much as success. We take risks, try new things, and we get things done. We love adaptogens and cruciferous vegetables but never say no to cake. Everything we do, we do in the service of our community.",3.3,"Daily Harvest
3.3","New York, NY",51 to 200 Employees,2015,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,50,80,65.0,Daily Harvest,NY,8,0,0,0,0,0,data scientist,na,NY,638
114,Data Scientist,$50K - $80K (Employer est.),"· Ideal candidate should have a degree in a quantitative field (e.g., mathematics, computer science, physics, economics, engineering, statistics, operations research, quantitative social science, etc.).
· Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.
· Basic Knowledge on software development principles and architecture.
· Good analytical and problem-solving abilities.
· Ability to break down and understand complex business problems, define a solution and implement it using advanced quantitative methods.
· Familiarity with programming for data analysis; ideally Python, SQL, or R.
· Solid oral and written communication skills, especially around analytical concepts and methods.
· Great work ethic and intellectual curiosity.
· Knowledge of Cloud technologies such as AWS or Google Cloud.
· Knowledge of any relational database such as My SQL.
· Must be a team player with excellent communication and problem-solving skills and have experience working with customers across teams.'
'
Work Location:",-1.0,Cognowiz solutions LLC,"Herndon, VA",-1,-1,unknown,unknown,unknown,-1,50,80,65.0,Cognowiz solutions LLC,VA,-1,1,1,1,0,1,data scientist,na,VA,1054
115,"Data Scientist, Dependency Planning",$50K - $80K (Employer est.),"We are hiring a Product Data Scientist for the Coordinate Area in New York to join our new Dependency Planning team. The Coordinate Area has a mission to make it effortless to plan work, do work, and adapt plans together as a team. The Dependency Planning team's vision is to enable teams to plan their work and adapt those plans effortlessly in real-time. The team will achieve their vision by allowing users to model & visualize the relationships between projects, tasks, and time. As a data scientist for this team, you will be critical in informing the team's product strategy and roadmap through rigorous data analyses and insights.
The Data Science team at Asana is instrumental in enabling Asana's mission by instilling a data-influenced approach to building the product or business strategy, defining and measuring success metrics, learning, and iterating to deliver value to our users. Data Scientists closely partner with Product, Business, Design, Engineering, and other Data team members. We leverage experimentation, statistical modelling and machine learning techniques, causal inference, and data storytelling to deepen our understanding of Asana customers and make optimal decisions to drive more business value.",4.3,"Asana
4.3","New York, NY",1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,50,80,65.0,Asana,NY,15,0,0,0,0,0,data scientist,na,NY,1228
116,Data Scientist / Analyst,$50K - $80K (Employer est.),"About Study.com
Our mission is to open the door to the life-changing impact of education and help make education accessible for all. As a nimble growth stage start-up, we've emerged as the leading online education platform helping over 30 million learners and educators each month. Study.com has earned numerous awards and it has been recognized as one of the most transformational companies in EdTech, living up to our commitment to all learners: Breakthroughs Start Here. From students and educators in over 9,000 school districts that use Study.com, to working adults striving to complete their college degree or gain professional certifications, we empower them to reach their full potential. Our product is our impact! Across our college programs alone we have saved students over $200M in tuition and enabled tens of thousands to become nurses, teachers, accountants and more. Additionally, as part of our mission we’ve donated over $27 million across social impact programs to learners and educators.",3.1,"Study.com
3.1","Mountain View, CA",51 to 200 Employees,2002,Company - Private,Education & Training Services,Education,Unknown / Non-Applicable,50,80,65.0,Study.com,CA,21,0,0,0,0,0,data scientist,na,CA,1007
117,Data Scientist Silicon Valley,$50K - $80K (Employer est.),"We are looking for a Data Scientist who will help us discover insights hidden in vast amounts of data from a variety of sources such as telematics (i.e. connected cars), social media, marketing, and manufacturing data to make smarter decisions to improve vehicle quality, deliver new connected car services, and derive new opportunities in departments such as marketing, after sales, and finance. Your primary focus will be in applying data analytics techniques, doing statistical analysis, and building high quality prediction systems integrated into our back end to support new and existing cloud based services.

Responsibilities
Selecting features, building and optimizing classifiers using machine learning techniques to enhance predictive analytics
Neural Networks using state-of-the-art methods



With a focus on Mobility, Operational Excellence, Value to our Customers and the Electrification of vehicles, you can expect to be part of something exciting. From the sleek design of our vehicles to the unique opportunities we offer around the globe, Nissan exemplifies ingenuity in everything we do. Our people are what drive the business forward.

Nissan is committed to a drug-free workplace. All employment is contingent upon successful completion of a drug screen for roles based in the United States and background screening for all positions.

All of us at Nissan - regardless of functional area or expertise - share a passion to design, manufacture, and sell high-performance vehicles. It is Nissan's policy to provide Equal Employment Opportunity (EEO) to all persons regardless of race, gender, military status, disability, or any other status protected by law. Candidates for this position must be legally authorized to work in the United States and will be required to provide proof of employment eligibility at the time of hire; Nissan uses E-Verify to validate employment eligibility.



People are our most valuable assets, and diversity and inclusion are the key to maximizing the power of each individual member of our team. When everyone belongs, the power of NISSAN is undeniable. Our Corporate Diversity Initiative aims to improve business results by ensuring that our workplace and core businesses meet the unique needs of our employees and customer base.

Nissan is committed to creating a culture where everyone belongs and employees, customers, and partners feel respected, valued, and heard. We have over 10 Business Synergy Teams (BSTs) across the U.S. and Canada that connect employees - with shared characteristics or interests - build allies, and foster a company culture where all employees feel supported and included.

Nissan also values inclusion in all areas of our business as we strive to mirror the diversity of our customer base and the communities where we do business. We are committed to procuring innovative goods and services, retailing our products and communicating from a diverse perspective which will help us continue to offer our customers competitively designed, market-driven products.

Join us as we carry our commitment to diversity and inclusion into the future.

Santa Clara California United States of America
Salary Range:
$83,789.00 - $194,855.00
Salary Range Estimate: Annual Salary: (Minimum to Maximum of Salary Range noted here). This compensation range represents the minimum and maximum base salary rates at Nissan for jobs assigned to this particular grade level. Please note that it is uncommon for an employee to be placed at either end of the range. Rather, an employee's actual base salary generally may fall somewhere in between and reflect the employee's unique skills, work experience, education, work location, and market norms. Additionally, pay may be based on comparisons to the base salary rates of other employees with similar backgrounds working in comparable roles.",3.9,"Nissan
3.9","Santa Clara, CA",10000+ Employees,1933,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),50,80,65.0,Nissan,CA,90,0,0,1,0,0,data scientist,na,CA,3851
118,"Data Scientist, Analytics - Ads",$50K - $80K (Employer est.),"About Quizlet:

Inspired by our belief that anyone can learn anything and powered by our own curiosity, we build the smartest tools we can imagine to help students learn.

Quizlet is the popular, global learning platform and app that millions of students, teachers and everyday people use to study any subject imaginable for school, work or as part of their personal interests - including two-thirds of high school students and half of all college students in the US. Combining cognitive science and machine learning, Quizlet guides students through adaptive study activities to confidently reach their learning goals. We’re on track to become the undisputed leader in user-generated learning content and engagement, at the scale of YouTube.

Valued at $1 billion, Quizlet has raised over $60 million in venture capital from investors including Icon Ventures, Union Square Ventures, General Atlantic, Costanoa Ventures, Owl Ventures, and Altos Ventures.",3.8,"Quizlet
3.8","New York, NY",201 to 500 Employees,2006,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,50,80,65.0,Quizlet,NY,17,0,0,0,0,0,data scientist,na,NY,953
119,Data Scientist / AI Specialist,$50K - $80K (Employer est.),"Macmillan Learning is seeking a Data Scientist / AI Specialist. The Data Scientist focused on AI drives innovation and insights through the development of fit-for-purpose algorithms, conducting insightful analytics, identifying data architecture and modeling, collaborating with cross-functional teams, and conducting research to identify new AI applications and techniques. This Data Scientist utilizes expertise in statistics, machine learning, data visualization, and programming languages such as Python or R to analyze and interpret complex data sets and provide data-driven insights to support business decisions and improve product offerings. The Data Scientist applies excellent communication and collaboration skills to work closely with stakeholders from different teams and departments to integrate AI systems into products or services, identify requirements, and provide technical consultation on data science-related issues.

Required",3.9,"Macmillan Learning
3.9","Austin, TX",501 to 1000 Employees,-1,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable,50,80,65.0,Macmillan Learning,TX,-1,1,0,1,0,0,data scientist,na,TX,947
120,Data Scientist,$106K - $130K (Employer est.),"At Evolve we’re a hardworking team serious about hospitality. Our teams work every day to make vacation rental easy for everyone — from our owners who trust Evolve to build their business to our guests who rest easy with every stay to our Evolvers who make this difference a reality. Our values anchor our daily decisions and interactions with our customers, communities, and each other. Join our inclusive culture in one of the most rapidly-growing segments in travel. Find your home at Evolve.
Why this role
As a tech-enabled disruptor in the vacation rental industry, Evolve is professionalizing the category by leveraging data science to capitalize on opportunities across the vacation rental ecosystem. The projects we work on aim to fundamentally change how guests interact with vacation rentals and how homeowners maximize rental income generation. As a member of the core data science team, you will be responsible for building machine learning products using a combination of modeling, software development, exploratory analysis, and data strategy to transform how a business domain is able to operate.",2.9,"Evolve Vacation Rentals
2.9",Remote,201 to 500 Employees,2011,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,Unknown / Non-Applicable,106,130,118.0,Evolve Vacation Rentals,Remote,12,0,0,0,0,0,data scientist,na,Remote,1111
121,Data Scientist,$106K - $130K (Employer est.),"Bond's mission is to accelerate the pace of financial innovation and access to capital.
Today, it's difficult for many businesses to build the financial products they imagine. Whether that's launching a new credit or debit card, a savings account, a lending business, or anything else — there are barriers in the way. Bond is focused on helping brands, businesses, and banks hurdle over those roadblocks.
Bond makes it easy for businesses to compliantly offer financial products. We make integration to the myriad, often-antiquated financial vendors more streamlined and intuitive. And, we make regulatory compliance not only achievable, but accessible. Our platform streamlines the process of launching and iterating on financial products, thereby enabling digital brands to better engage their customers with unique financial products tailored to their needs.",2.4,"Bond Financial Technologies
2.4",Remote,1 to 50 Employees,2019,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,106,130,118.0,Bond Financial Technologies,Remote,4,0,0,0,0,0,data scientist,na,Remote,861
122,Data Scientist,$106K - $130K (Employer est.),"About Skylight
Skylight is a digital consultancy using design and technology to help government agencies deliver better public services.
We're at the forefront of a civic movement to reinvent how all levels of government serve families, patients, and many others in today's digital world.
If you want to play a part in driving this critical movement forward, we'd love for you to join our growing team of public interest technologists.
The work we do matters.
About the job",4.5,"Skylight
4.5","Sarasota, FL",1 to 50 Employees,2015,Company - Private,Consumer Electronics & Appliances Stores,Retail & Wholesale,$1 to $5 million (USD),106,130,118.0,Skylight,FL,8,0,0,0,0,0,data scientist,na,FL,473
123,Data Scientist,$106K - $130K (Employer est.),"Description:
About ADRM
Founded in 2014, our mission is to disrupt the security industry, drive change and create a truly safer world. We protect organizations’ critical assets with data-driven risk management solutions. We specialize in providing not only traditional security consulting services but also unique and custom solutions for customers based on risk and need. We have industry leading clients in the Financial, Bio-Tech, Critical Infrastructure, and Higher Education sectors ranging from startups to Fortune 50 Corporations.
Our core values are seen in everything we do: Balance, Curiosity, Integrity, Respect, Team, and Trust. We are committed to living our values every day and in every action. We are in a period of profound growth, nearly doubling in size over the last year. We have a great Team at ADRM, and every team member is passionate about their work and the clients we serve. Team and family are important to us. We respect work-life balance and offer a comprehensive benefits package that includes 100% company paid monthly premiums for medical, dental, and vision benefits for you and your dependents.
Requirements:",-1.0,ADRM,Massachusetts,1 to 50 Employees,-1,Company - Private,unknown,unknown,Unknown / Non-Applicable,106,130,118.0,ADRM,Massachusetts,-1,0,0,0,0,0,data scientist,na,MA,1143
124,Associate Data Scientist,$106K - $130K (Employer est.),"Work Mode:
Onsite
Responsibilities:
About Tencent
Tencent is a world-leading internet and technology company that develops innovative products and services to improve the quality of life of people around the world. Founded in 1998 with its headquarters in Shenzhen China, our guiding principle is to use technology for good.
We are not only a major video game publisher in the world, we also produce other high-quality digital content, enriching interactive entertainment experiences for people around the globe. We offer a range of services such as cloud computing, advertising, FinTech, and other enterprise services to support our clients' digital transformation and business growth.
About IEG






California
The base pay range for this position in the state(s) above is $65,450 to $130,900 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.",4.0,"Tencent
4.0","Palo Alto, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,106,130,118.0,Tencent,CA,25,0,0,0,0,0,data scientist,na,CA,1140
125,Principal Data Scientist,$106K - $130K (Employer est.),"Intuit is hiring a Principal Data Scientist to join our Intuit AI team.

Come join our collaborative and creative group of data scientists and machine learning engineers and build models that directly affect hundreds of thousands of our customers. In this role you will be building and deploying machine learning models using both analytical algorithms and deep learning approaches. We are waiting for you to join us and do the best work of your life.",4.5,"Intuit
4.5","Mountain View, CA",10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD),106,130,118.0,Intuit,CA,40,0,0,0,0,0,data scientist,senior,CA,451
126,Data Scientist,$106K - $130K (Employer est.),"We are seeking a dedicated Data Scientist to join our team working on the Hospital Quality Reporting system for the Centers for Medicare and Medicaid Services (CMS). The ideal candidate will be an analytical thinker with a deep understanding of healthcare data and its intricacies. Your work will play a pivotal role in improving the quality and effectiveness of healthcare services provided to millions of beneficiaries.
Responsibilities
Analyze and interpret complex healthcare datasets to provide insights into hospital performance, patient outcomes, and care quality.
Develop, test, and deploy predictive models to identify areas of improvement and risk within hospital care.
Collaborate with cross-functional teams to integrate your findings and models into the Hospital Quality Reporting system.",3.9,"Bellese
3.9",United States,51 to 200 Employees,2009,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,106,130,118.0,Bellese,United States,14,0,0,0,0,0,data scientist,na,USA,801
127,Data Scientist,$106K - $130K (Employer est.),"Title: Data Scientist
Location: North America
Department: Architecture & Design (SketchUp)
Our Company
Trimble is transforming the way the world works by delivering products and services that connect the physical and digital worlds. Our core offerings in construction, transportation, agriculture, positioning, natural resources and utilities enable our customers to improve the productivity, quality and sustainability of their operations: “better, faster, greener”.
105682
142676
Yes",4.2,"Applanix
4.2","Westminster, CO",51 to 200 Employees,1991,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD),106,130,118.0,Applanix,CO,32,0,0,0,0,0,data scientist,na,CO,485
128,Sr Data Scientist,$106K - $130K (Employer est.),"Description
JOB TITLE: Sr Data Scientist
Syneos Health is the only fully integrated biopharmaceutical solutions organization purpose-built to accelerate customer success. We lead with a product development mindset, seamlessly connecting our capabilities to add high-value insights to speed therapies to patients and provide practical value to help our customers achieve their objectives.
Every day we perform better because of how we work together, as one team, each the best at what we do. We bring many talented experts together across a wide range of business-critical services that support our business. Every role within Corporate is vital to furthering our vision of Shortening the Distance from Lab to Life®.",3.8,"Syneos Health Clinical
3.8",Remote,10000+ Employees,-1,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,106,130,118.0,Syneos Health Clinical,Remote,-1,0,0,0,0,0,data scientist,senior,Remote,715
129,Data Scientist,$106K - $130K (Employer est.),"The Data team leverages data from our autonomous vehicles and operations to determine autonomy and service readiness. We provide the foundation for strategic decision-making at Zoox. You will be responsible for partnering with our AI, simulation, and mission assurance teams to drive improvements, inform development, and identify high leverage projects on our path towards autonomy. You will play a key role in enabling Zoox to develop and scale with a data-driven environment.

You will join a diverse, experienced team with rapidly growing scope and responsibility while also having access to one of the most unique data sets in the autonomous vehicle industry.
Responsibilities
Collaborating with our mission assurance team to validate and ensure the safety of our software",4.1,"Zoox
4.1","Foster City, CA",1001 to 5000 Employees,2014,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,106,130,118.0,Zoox,CA,9,0,0,0,0,0,data scientist,na,CA,777
130,Data Scientist,$106K - $130K (Employer est.),"Job Description
Data Scientists sought by Dataline, Inc., in Princeton, NJ, to build statistical predictive models to identify target customers for clients; perform data extraction, processing and mining on large databases.
Requirements
MS or higher degree in statistics, applied mathematics, or related, or equivalent, 6 months experience, demonstrated knowledge of mathematical and statistical modeling, data mining, big data, applied regression, machine learning, design and analysis of data structures and algorithms, programming (C, C++, SQL, Python), R, SPSS, and Matlab.",-1.0,Dataline,"Princeton, NJ",1 to 50 Employees,-1,Company - Private,unknown,unknown,Unknown / Non-Applicable,106,130,118.0,Dataline,NJ,-1,1,1,0,0,0,data scientist,na,NJ,577
131,Data Scientist/Data Analyst,$106K - $130K (Employer est.),"EMPLOYER INFORMATION:
Clifford Beers is a mental health clinic serving children and families. Our mission is to provide integrated services addressing mental, physical, and social determinants in order to improve health, resiliency and quality of life for children, families and communities.
The Integrated Care for Kids (InCK) Model, a federal grant awarded through CMS, is a child-centered local service delivery and state payment model that aims to reduce expenditures and improve the quality of care for children under 21 years of age and pregnant women covered by Medicaid through prevention, early identification, and treatment of behavioral and physical health needs.
PURPOSE:",4.1,"Clifford Beers Community Care Center
4.1","New Haven, CT",51 to 200 Employees,1913,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$5 to $25 million (USD),106,130,118.0,Clifford Beers Community Care Center,CT,110,0,0,0,0,0,data scientist,na,CT,683
132,"Data Scientist, RegLab",$106K - $130K (Employer est.),"Data Scientist, RegLab
Job Code: 4745
Job Grade: I
The Regulation, Evaluation, and Governance Lab (RegLab) at Stanford University is looking for a Data Scientist to work across our research programs. This role will collaborate closely with teams of research fellows and students on projects related to machine learning and the public sector. We are looking for someone who is a self-learner, research-oriented, and excited by the mission of the Lab.
About us: Stanford RegLab is a social impact lab that partners with government and nonprofits to use machine learning and data science to modernize the public sector. We are an interdisciplinary team of lawyers, data scientists, social scientists, and engineers who are passionate about building high impact demonstration projects for the future of governance. Some of our partners include the EPA, IRS, DOL, and Santa Clara County Public Health.",4.2,"Stanford University
4.2","Stanford, CA",10000+ Employees,1891,College / University,Colleges & Universities,Education,$10+ billion (USD),106,130,118.0,Stanford University,CA,132,0,0,0,0,0,data scientist,na,CA,896
133,Data Scientist - BCG X,$106K - $130K (Employer est.),"Who We Are

BCG X is the tech build & design unit of BCG. Turbocharging BCG’s deep industry and functional expertise, BCG X brings together advanced tech knowledge and ambitious entrepreneurship to help organizations enable innovation at scale. With nearly 3,000 technologists, scientists, programmers, engineers, and human-centered designers located across 80+ cities, BCG X builds and designs platforms and software to address the world’s most important challenges and opportunities. Teaming across our practices, and in close collaboration with our clients, our end-to-end global team unlocks new possibilities. Together we’re creating the bold and disruptive products, services, and businesses of tomorrow

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.",4.3,"Boston Consulting Group
4.3","Chicago, IL",10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD),106,130,118.0,Boston Consulting Group,IL,60,0,0,0,1,0,data scientist,na,IL,1213
134,Principal Data Scientist,$106K - $130K (Employer est.),"It's fun to work in a company where people truly BELIEVE in what they're doing!
Job Description Summary:
Job Overview:
Rocket's Data Modernization Business Unit aids customers in managing, governing, and maximizing the value of their enterprise data assets. Our clientele comprises many Fortune 500 companies, including some of the world's largest banks, insurance companies, and manufacturing organizations. We are currently seeking motivated and innovative individuals to join our applied machine learning team. This is an opportunity to play a crucial role in the continued evolution of our world-class solutions.

The Principal Data Scientist is a highly motivated and experienced individual proficient in advanced machine learning models, particularly language models, document understanding and analysis, and code generation. The role will involve understanding and adapting current research. The position requires a deep understanding of computational linguistics, image processing, and Python programming. The selected candidate will be part of a collaborative team dedicated to building, fine-tuning, and deploying state-of-the-art models to solve real-world problems in information management, data intelligence, content automation, audit, and analytics. This presents an opportunity to create tremendous business value as we assemble a world-class applied machine learning team.

You will set the team up for success, defining best practices, illustrating canonical methods, designing roadmaps, and recommending the best technologies for the task at hand.
The base salary range for this role is $144,200.00 - $180,250.00 /year. Exact compensation may vary based on skills, experience, and location.
.",4.2,"Rocket Software
4.2",United States,1001 to 5000 Employees,1990,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,106,130,118.0,Rocket Software,United States,33,1,0,0,0,0,data scientist,senior,USA,1711
135,Data Scientist,$106K - $130K (Employer est.),"Summary:
We are looking for a junior- to mid-level hands-on Data Scientist to work on large-scale data analytic capabilities and extract insights from structured and unstructured data. The primary focus will be in applying/developing data mining, machine learning and statistical techniques, conducting R&D on data science-integrated investment insights, and building high quality data-driven research and investment. This person will regularly engage in deep scientific research. Experience in text analytics and other unstructured data is plus; and previous experience of applying data science in equity research and the financial industry is also a plus.
Responsibilities:
Evaluate and analyze structured and unstructured data sets and R&D data-driven solutions and insights
Collaborate with research and investment teams to identify data science use cases and integrate new data sources into fundamental research and investment theses densification
The salary range for this role is $150,000-$200,000. This is the lowest to highest salary we in good faith believe we would pay for this role at the time of this posting. We may ultimately pay more or less than the posted range, and the range may be modified in the future. This range is only applicable for jobs to be performed in New York City. An employee’s pay position within the salary range will be based on several factors including, but limited to, relevant education, qualifications, certifications, experience, skills, seniority, geographic location, performance, shift, travel requirements, sales or revenue-based metrics, any collective bargaining agreements, and business or organizational needs. This job is also eligible for a discretionary bonus. We offer a comprehensive package of benefits including paid time off, medical/dental/vision insurance, 401(k), life insurance and other benefits to eligible employees.",4.3,"Neuberger Berman
4.3","New York, NY",1001 to 5000 Employees,1939,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),106,130,118.0,Neuberger Berman,NY,84,0,0,0,0,0,data scientist,na,NY,1884
